
2024/05/07 (11:15:56) | ===> btop++ v.1.3.2
2024/05/07 (11:17:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:18:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:19:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:20:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
